Dimension     Tiempo MergeSort     Tiempo QuickSort
  10           0.0217234           0.0172232
  20           0.0506066           0.0630012
  30           0.124855           0.0814938
  40           0.094355           0.103323
  50           0.119594           0.127704
  60           0.170603           0.139123
  70           0.171243           0.23958
  80           0.201316           0.182543
  90           0.224752           0.229736
  100           0.310179           0.324729
  200           0.604003           1.00728
  300           0.973965           0.906904
  400           1.92223           1.90474
  500           1.96871           2.44747
  600           2.12805           2.35081
  700           2.18432           2.1096
  800           2.35252           2.72112
  900           3.13227           2.96295
  1000           2.80681           3.35762
